Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
UNIVERSITY OF SCRANTON                                                      ,SCRANTON                 ,PA ,WUSR        ,99.5  MHz ,258,ND  ,A  ,LIC    ,BLED   -20130314ABR ,0.41   kW ,0.41   kW ,378,378,69198,N ,41,25,41,W ,75,44,50,722.   m,722.0  m,-         ,-       ,-       ,47.    m,1544675
NORTHEAST COMMUNICATIONS CORPORATION                                        ,PLYMOUTH                 ,NH ,WPNH-FM     ,100.1 MHz ,261,ND  ,A  ,LIC    ,BLH    -20000515ABT ,0.41   kW ,0.41   kW ,376,376,52127,N ,43,44,21,W ,71,47,27,722.   m,722.0  m,30387,-       ,-       ,21.    m,498410
-                                                                           ,BANFF                    ,AB ,CJMTFM1     ,106.5 MHz ,293,DA  ,A  ,OPER   ,-      --           ,0.41   kW ,0.41   kW ,320,320,94473,N ,51,8,39,W ,115,34,28,2269.  m,2269.0 m,-         ,0,-       ,0.     m,289187
-                                                                           ,WOSS CAMP                ,BC ,CBTWFM      ,92.9  MHz ,225,DA  ,B  ,OPER   ,-      --           ,0.41   kW ,0.     kW ,386,0,94978,N ,50,10,10,W ,126,34,8,0.     m,0.0    m,-         ,0,-       ,0.     m,291112
AMERICAN FAMILY ASSOCIATION                                                 ,DURANT                   ,OK ,KAYC        ,91.1  MHz ,216,ND  ,A  ,LIC    ,BLED   -20000714AAC ,0.403  kW ,0.403  kW ,64,64,82203,N ,34,1,17,W ,96,28,18,269.   m,269.0  m,-         ,-       ,-       ,38.    m,507311
BUTLER COUNTY COMMUNITY COLLEGE                                             ,EL DORADO                ,KS ,KBTL        ,88.1  MHz ,201,ND  ,A  ,LIC    ,BLED   -19981116KC  ,0.4    kW ,0.4    kW ,28,28,83259,N ,37,48,16,W ,96,53,2,436.   m,436.0  m,-         ,-       ,1033401,37.    m,277203
"ALAMO NAVAJO SCHOOL BOARD, INC.                                             ",ALAMO                    ,NM ,KYGR        ,88.1  MHz ,201,ND  ,A  ,LIC    ,BLED   -20091102AAB ,0.4    kW ,0.4    kW ,-59.5,-59.5,173315,N ,34,25,1,W ,107,30,4,1917.  m,1917.0 m,-         ,-       ,-       ,50.    m,1338784
AMERICAN FAMILY ASSOCIATION                                                 ,DUBLIN                   ,GA ,WAWH        ,88.3  MHz ,202,ND  ,A  ,LIC    ,BLED   -20000222ABG ,0.4    kW ,0.4    kW ,25,25,82033,N ,32,32,27,W ,82,57,27,105.   m,105.0  m,-         ,-       ,-       ,26.    m,492177
DUNELAND SCHOOL CORP.                                                       ,CHESTERTON               ,IN ,WDSO        ,88.3  MHz ,202,ND  ,A  ,LIC    ,BMLED  -20050107ABH ,0.4    kW ,0.4    kW ,41,41,17731,N ,41,36,29,W ,87,3,37,241.   m,241.0  m,29599,-       ,-       ,45.    m,1039004
EDUCATIONAL MEDIA FOUNDATION                                                ,NEWTON                   ,IA ,KKLG        ,88.3  MHz ,202,ND  ,A  ,LIC    ,BLED   -20051004ADB ,0.4    kW ,0.4    kW ,66.5,66.5,92477,N ,41,41,33,W ,93,0,37,338.   m,338.0  m,-         ,-       ,1016617,55.    m,1090532
"TALKING INFORMATION CENTER, INCORPORATED                                    ",MIDDLEBOROUGH CENTER     ,MA ,WRRS        ,88.5  MHz ,203,DA  ,A  ,LIC    ,BLED   -20120425AAI ,0.4    kW ,0.4    kW ,41,41,177016,N ,41,55,26,W ,70,56,7,60.    m,60.0   m,103608,0,-       ,48.    m,1416584
POMONA COLLEGE                                                              ,CLAREMONT                ,CA ,KSPC        ,88.7  MHz ,204,ND  ,A  ,LIC    ,BLED   -20120709AEN ,0.4    kW ,0.4    kW ,21,21,52922,N ,34,8,33,W ,117,43,17,685.   m,685.0  m,-         ,-       ,1026311,19.    m,1506675
"SOARING EAGLE PROMOTIONS, INC.                                              ",ZANESFIELD               ,OH ,WSOH        ,88.9  MHz ,205,ND  ,A  ,LIC    ,BLED   -20120517ADM ,0.4    kW ,0.4    kW ,130,130,176916,N ,40,20,7.2,W ,83,39,45.8,501.   m,501.0  m,-         ,-       ,1203968,71.    m,1508145
AMERICAN FAMILY ASSOCIATION                                                 ,EFFINGHAM                ,IL ,WEFI        ,89.5  MHz ,208,ND  ,A  ,LIC    ,BLED   -20060530ADS ,0.4    kW ,0.4    kW ,50,50,91350,N ,39,8,30,W ,88,33,36,226.   m,226.0  m,-         ,-       ,1005392,43.    m,1131887
TOCCOA FALLS COLLEGE                                                        ,TOCCOA FALLS             ,GA ,WTXR        ,89.7  MHz ,209,DA  ,A  ,LIC    ,BLED   -20010125ABQ ,0.4    kW ,0.4    kW ,42,42,77327,N ,34,35,57,W ,83,21,55,387.   m,387.0  m,15462,0,1036383,24.    m,1118648
"FELLOWSHIPWORLD, INC.                                                       ",MEDINA                   ,NY ,DWFWO       ,89.7  MHz ,209,ND  ,A  ,LIC    ,BLED   -20120727AFJ ,0.4    kW ,0.4    kW ,40,40,172262,N ,43,14,33,W ,78,18,27,189.   m,189.0  m,-         ,-       ,-       ,30.    m,1509593
AMERICAN FAMILY ASSOCIATION                                                 ,JAMESTOWN                ,ND ,KJTW        ,89.9  MHz ,210,ND  ,A  ,LIC    ,BLED   -20100426ACN ,0.4    kW ,0.4    kW ,47,47,93119,N ,46,53,30,W ,98,42,46,499.   m,499.0  m,-         ,-       ,-       ,48.    m,1365282
"LIGHTWAVE, INC                                                              ",CORNERSVILLE             ,TN ,WLWW        ,89.9  MHz ,210,ND  ,A  ,LIC    ,BLED   -20121119AHN ,0.4    kW ,0.4    kW ,-3,-3,177227,N ,35,18,53,W ,86,54,7,263.   m,263.0  m,-         ,-       ,-       ,18.    m,1526374
CENTRO CRISTIANO DE VIDA ETERNA                                             ,CEDAR LAKE               ,TX ,KQVI-FM     ,89.9  MHz ,210,ND  ,A  ,CP     ,BPED   -20140509ANT ,0.4    kW ,0.4    kW ,274,274,174444,N ,28,48,57,W ,95,36,3,275.   m,275.0  m,-         ,-       ,1045591,274.   m,1643927
EDUCATIONAL MEDIA FOUNDATION                                                ,WATERTOWN                ,NY ,WKWV        ,90.1  MHz ,211,ND  ,A  ,LIC    ,BLED   -20070717AEA ,0.4    kW ,0.4    kW ,207,207,85461,N ,43,57,15,W ,75,43,45,488.   m,488.0  m,-         ,-       ,1016048,154.   m,1195465
"MOAB PUBLIC RADIO, INC.                                                     ",MOAB                     ,UT ,KZMU        ,90.1  MHz ,211,ND  ,C3 ,LIC    ,BMLED  -20110915ACD ,0.4    kW ,0.4    kW ,390,390,43314,N ,38,31,37,W ,109,18,21,2758.  m,2758.0 m,-         ,-       ,-       ,21.    m,1441178
"CALVARY CHAPEL OF TWIN FALLS, INC.                                          ",ARLEE                    ,MT ,KJFT        ,90.3  MHz ,212,ND  ,C3 ,LIC    ,BLED   -20101020ACF ,0.4    kW ,0.4    kW ,581,581,93587,N ,47,1,4,W ,114,0,49,2091.  m,2091.0 m,-         ,-       ,1065037,13.    m,1404020
OREGON PUBLIC BROADCASTING                                                  ,LA GRANDE                ,OR ,KTVR-FM     ,90.3  MHz ,212,ND  ,C2 ,LIC    ,BLED   -20040504ABP ,0.4    kW ,0.4    kW ,768,768,94194,N ,45,18,33,W ,117,43,54,2183.  m,2183.0 m,-         ,-       ,-       ,39.    m,991772
ALLEGHENY COLLEGE                                                           ,MEADVILLE                ,PA ,WARC        ,90.3  MHz ,212,ND  ,A  ,LIC    ,BLED   -19970124IF  ,0.4    kW ,0.4    kW ,20,20,1055,N ,41,38,57,W ,80,8,38,413.   m,413.0  m,-         ,-       ,-       ,20.    m,239599
HISPANIC CHRISTIAN COMMUNICATIONS                                           ,SMILEY                   ,TX ,KSXT        ,90.3  MHz ,212,ND  ,A  ,LIC    ,BLED   -20121009ABC ,0.4    kW ,0.4    kW ,23,23,93531,N ,29,16,20,W ,97,40,28,122.   m,122.0  m,-         ,-       ,-       ,24.    m,1520504
TOWNSEND BROADCASTING ENTERPRISE                                            ,CAMDEN                   ,AL ,WQLS        ,90.5  MHz ,213,ND  ,A  ,LIC    ,BLED   -20111207ABR ,0.4    kW ,0.4    kW ,128,128,171526,N ,31,57,34,W ,87,16,4,188.   m,188.0  m,-         ,-       ,-       ,55.    m,1478950
"JOY BROADCASTING, INC.                                                      ",SOMERS POINT             ,NJ ,WXGN        ,90.5  MHz ,213,DA  ,A  ,CP MOD ,BMPED  -20140407AAJ ,0.4    kW ,0.4    kW ,32,32,32338,N ,39,16,47,W ,74,34,30,32.    m,32.0   m,118218,338,-       ,30.    m,1633131
UNIVERSITY OF WYOMING                                                       ,NEWCASTLE                ,WY ,KUWN        ,90.5  MHz ,213,ND  ,A  ,LIC    ,BLED   -19971201KA  ,0.4    kW ,0.4    kW ,62,62,83868,N ,43,49,57,W ,104,13,8,1406.  m,1406.0 m,-         ,-       ,1009681,53.    m,258178
METROPOLITAN SCHOOL DISTRICT OF WAYNE TOWNSHIP                              ,INDIANAPOLIS             ,IN ,WBDG        ,90.9  MHz ,215,ND  ,A  ,LIC    ,BLED   -19781214AB  ,0.4    kW ,0.4    kW ,24,24,41317,N ,39,47,5,W ,86,17,27,264.   m,264.0  m,-         ,-       ,-       ,26.    m,6764
EDUCATIONAL MEDIA FOUNDATION                                                ,WILLMAR                  ,MN ,KKLW        ,90.9  MHz ,215,ND  ,A  ,LIC    ,BLED   -20040204ABY ,0.4    kW ,0.4    kW ,129,129,92992,N ,45,11,52,W ,94,56,58,491.   m,491.0  m,-         ,-       ,1023385,113.   m,975744
"CALVARY CHAPEL OF TWIN FALLS, INC.                                          ",HERMOSA                  ,SD ,KWRC        ,90.9  MHz ,215,ND  ,C3 ,LIC    ,BLED   -20080304AAU ,0.4    kW ,0.4    kW ,386.8,386.8,90500,N ,43,44,40,W ,103,28,52,1907.  m,1907.0 m,-         ,-       ,1047288,70.    m,1236908
OREGON ST BOARD OF HIGHER ED FOR THE UNIV OF OREGON                         ,YREKA                    ,CA ,KNYR        ,91.3  MHz ,217,ND  ,C2 ,LIC    ,BLED   -19951012KB  ,0.4    kW ,0.4    kW ,721,721,62967,N ,41,36,36,W ,122,37,26,1817.  m,1817.0 m,-         ,-       ,-       ,23.    m,215279
CARMEL/CLAY SCHOOL CORPORATION                                              ,CARMEL                   ,IN ,WHJE        ,91.3  MHz ,217,ND  ,A  ,LIC    ,BLED   -1326        ,0.4    kW ,0.4    kW ,30,30,9004,N ,39,58,45,W ,86,7,10,285.   m,285.0  m,-         ,-       ,-       ,26.    m,295699
UNIVERSITY OF WYOMING                                                       ,AFTON                    ,WY ,KUWA        ,91.3  MHz ,217,ND  ,A  ,LIC    ,BLED   -19980710KB  ,0.4    kW ,0.4    kW ,-95,-95,83869,N ,42,51,2,W ,110,58,46,1996.  m,1996.0 m,-         ,-       ,-       ,45.    m,270834
EARLHAM COLLEGE                                                             ,RICHMOND                 ,IN ,WECI        ,91.5  MHz ,218,ND  ,A  ,LIC    ,BLED   -19930713KA  ,0.4    kW ,0.4    kW ,38,38,18167,N ,39,48,29,W ,84,54,47,354.   m,354.0  m,-         ,-       ,-       ,58.    m,188040
NORTHEASTERN PENNSYLVANIA EDUCATIONAL TELEVISION ASSOCIATION                ,PALMYRA TOWNSHIP         ,PA ,WPAU        ,91.5  MHz ,218,DA  ,A  ,LIC    ,BLED   -20121204AXD ,0.4    kW ,0.4    kW ,167,167,173824,N ,41,24,43,W ,75,9,51,579.   m,579.0  m,109211,0,1025748,47.    m,1526300
IGLESIA PENTECOSTAL VISPERIA DEL FIN                                        ,DARRINGTON               ,WA ,KEJI        ,91.5  MHz ,218,ND  ,A  ,LIC    ,BLED   -20110523ABQ ,0.4    kW ,0.4    kW ,-472,-472,176052,N ,48,16,52.3,W ,121,32,31.4,161.   m,161.0  m,-         ,-       ,-       ,30.    m,1428210
"HOPE CHRISTIAN CHURCH OF MARLTON, INC.                                      ",WEST GROVE               ,PA ,WZWG        ,91.7  MHz ,219,DA  ,A  ,CP     ,BPED   -20130611ABD ,0.4    kW ,0.4    kW ,144,144,173248,N ,39,49,19,W ,75,54,43,279.   m,279.0  m,114064,0,1025380,120.   m,1558885
CLARKE BROADCASTING CORPORATION                                             ,TWAIN HARTE              ,CA ,KKBN        ,93.5  MHz ,228,ND  ,A  ,LIC    ,BMLH   -20051103AAO ,0.4    kW ,0.4    kW ,384.7,384.7,11977,N ,38,0,30,W ,120,21,44,1066.  m,1066.0 m,-         ,-       ,1205700,47.9   m,1094443
"MEADOWS BROADCASTING, LLC                                                   ",CHINOOK                  ,WA ,KRKZ-FM     ,94.3  MHz ,232,ND  ,A  ,LIC    ,BLH    -20130605ACE ,0.4    kW ,0.4    kW ,380,380,189499,N ,46,17,12,W ,123,53,46,436.   m,436.0  m,-         ,-       ,-       ,25.    m,1558525
"WILLIAMS COMMUNICATIONS, INC.                                               ",ALEXANDRIA               ,AL ,WHMA-FM     ,95.3  MHz ,237,DA  ,A  ,APP    ,BPH    -20071214AAR ,0.4    kW ,0.4    kW ,332,332,52320,N ,33,37,38,W ,85,53,25,551.   m,551.0  m,92399,0,1020310,30.    m,1304000
"RADIO VERMONT, INC.                                                         ",WARREN                   ,VT ,WDEV-FM     ,96.1  MHz ,241,ND  ,C3 ,LIC    ,BLH    -20011031AAI ,0.4    kW ,0.4    kW ,694,694,54867,N ,44,7,37,W ,72,55,43,1216.  m,1216.0 m,-         ,-       ,-       ,8.     m,585777
CUMULUS LICENSING LLC                                                       ,CRYSTAL BEACH            ,TX ,KSTB        ,101.5 MHz ,268,ND  ,A  ,APP    ,BSTA   -20140917AAO ,0.4    kW ,0.4    kW ,18,18,18187,N ,29,28,2,W ,94,36,26,18.    m,18.0   m,-         ,-       ,-       ,14.9   m,1650337
COCHISE MEDIA LICENSES LLC                                                  ,LOMA                     ,CO ,KDVC        ,102.5 MHz ,273,ND  ,A  ,CP     ,BPH    -20090205ACK ,0.4    kW ,0.4    kW ,383,383,164124,N ,39,4,1,W ,108,44,39,2175.  m,2175.0 m,-         ,-       ,-       ,23.    m,1309214
-                                                                           ,BEAUCEVILLE              ,QC ,CION1       ,102.5 MHz ,273,ND  ,B1 ,OPER   ,-      --           ,0.4    kW ,0.4    kW ,139,139,95475,N ,46,9,32,W ,70,44,52,0.     m,0.0    m,-         ,-       ,-       ,0.     m,293628
-                                                                           ,DESTRUCTION BAY          ,YT ,CBDLFM      ,105.1 MHz ,286,DA  ,A  ,OPER   ,-      --           ,0.4    kW ,0.4    kW ,-190,-190,94789,N ,61,19,34,W ,138,56,45,0.     m,0.0    m,-         ,0,-       ,0.     m,290211
LANE COUNTY SCHOOL DISTRICT 4J                                              ,OAKRIDGE                 ,OR ,KAVE        ,88.5  MHz ,203,ND  ,A  ,LIC    ,BLED   -20040220AAO ,0.4    kW ,0.     kW ,-392,-392,132574,N ,43,44,27,W ,122,26,50,399.   m,399.0  m,-         ,-       ,-       ,18.    m,978206
-                                                                           ,CHASE                    ,BC ,CIFM-8      ,93.1  MHz ,226,DA  ,A  ,OPER   ,-      --           ,0.4    kW ,0.     kW ,141,0,95868,N ,50,54,0,W ,119,38,35,0.     m,0.0    m,-         ,0,-       ,0.     m,296026
-                                                                           ,ST-GABRIEL               ,QC ,CFNJFM      ,99.1  MHz ,256,ND  ,A  ,OPER   ,-      --           ,0.4    kW ,0.     kW ,211,0,95510,N ,46,21,19,W ,73,29,31,0.     m,0.0    m,-         ,-       ,-       ,0.     m,293831
-                                                                           ,TIJUANA                  ,BN ,XHUANFM     ,102.5 MHz ,273,DA  ,B  ,OPER   ,-      --           ,0.4    kW ,0.     kW ,238,0,95012,N ,32,29,14,W ,116,59,20,0.     m,0.0    m,-         ,0,-       ,0.     m,291280
"SCREEN DOOR BROADCASTING, LLC                                               ",RINGWOOD                 ,OK ,KEUC        ,104.9 MHz ,285,ND  ,A  ,CP     ,BNPH   -20130724ABM ,0.4    kW ,0.     kW ,78,0,191538,N ,36,23,19,W ,98,18,0,475.   m,0.0    m,-         ,-       ,1238283,60.    m,1576633
EDUCATIONAL MEDIA FOUNDATION                                                ,SCOTTSBLUFF              ,NE ,KLJV        ,88.3  MHz ,202,ND  ,A  ,LIC    ,BMLED  -20080523AEY ,0.39   kW ,0.39   kW ,238,238,121887,N ,41,50,21,W ,103,49,53,1532.  m,1532.0 m,-         ,-       ,1249849,46.    m,1247440
EDUCATIONAL MEDIA FOUNDATION                                                ,TEHACHAPI                ,CA ,KBLV        ,88.7  MHz ,204,DA  ,B  ,LIC    ,BLED   -20091009AEF ,0.39   kW ,0.39   kW ,1126,1126,122216,N ,35,27,11,W ,118,35,25,2348.  m,2348.0 m,79924,0,1015228,48.    m,1337566
JAMES MADISON UNIVERSITY BOARD OF VISITORS                                  ,HARRISONBURG             ,VA ,WXJM        ,88.7  MHz ,204,ND  ,A  ,LIC    ,BLED   -19901010KB  ,0.39   kW ,0.39   kW ,19,19,4247,N ,38,26,22,W ,78,52,21,445.   m,445.0  m,-         ,-       ,-       ,30.    m,153434
"KAYSER BROADCAST MINISTRIES, INC.                                           ",SYCAMORE                 ,OH ,WXMW        ,89.3  MHz ,207,ND  ,A  ,LIC    ,BLED   -20100902AEL ,0.39   kW ,0.39   kW ,158,158,171901,N ,40,54,53,W ,83,7,32,425.4  m,425.4  m,-         ,-       ,1253122,145.   m,1397997
KEY WEST EDUCATIONAL BROADCAST FOUNDATION INC.                              ,KEY WEST                 ,FL ,WJIR        ,90.9  MHz ,215,ND  ,A  ,LIC    ,BLED   -19880223KJ  ,0.39   kW ,0.39   kW ,37,37,34364,N ,24,33,7,W ,81,47,53,39.    m,39.0   m,-         ,-       ,-       ,37.    m,109700
"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        ",SALIDA                   ,CO ,KTPF        ,91.3  MHz ,217,ND  ,C2 ,LIC    ,BLED   -20070817ACM ,0.39   kW ,0.39   kW ,900,900,94198,N ,38,26,48,W ,106,0,36,3567.  m,3567.0 m,-         ,-       ,-       ,7.     m,1199238
"VERMONT BROADCAST ASSOCIATES, INC.                                          ",LITTLETON                ,NH ,WMTK        ,106.3 MHz ,292,ND  ,A  ,LIC    ,BLH    -19910927KC  ,0.39   kW ,0.39   kW ,383,383,72212,N ,44,21,14,W ,71,44,23,735.   m,735.0  m,-         ,-       ,-       ,119.   m,165254
-                                                                           ,SONOITA                  ,SO ,XHITAFM     ,96.5  MHz ,243,ND  ,B  ,OPER   ,-      --           ,0.39   kW ,0.     kW ,-53,0,94542,N ,31,51,50,W ,112,50,55,0.     m,0.0    m,-         ,-       ,-       ,0.     m,289429
"WESTERN INSPIRATIONAL BROADCASTERS, INC.                                    ",EVANSTON                 ,WY ,KPMD        ,88.3  MHz ,202,ND  ,C3 ,CP     ,BPED   -20130219AAD ,0.385  kW ,0.385  kW ,463,463,94097,N ,41,21,12.2,W ,110,54,29,2633.  m,2633.0 m,-         ,-       ,-       ,16.    m,1541570
"BETHEL BROADCASTING, INC.                                                   ",BETHEL                   ,AK ,KYUK-FM     ,90.3  MHz ,212,ND  ,A  ,LIC    ,BLED   -20100104ABW ,0.385  kW ,0.385  kW ,23,23,172683,N ,60,47,33,W ,161,46,22,33.    m,33.0   m,-         ,-       ,1001754,25.    m,1362431
"OUR LADY OF GUADALUPE RADIO, INC., DBA ANNUNCIATION RADIO                   ",SANDUSKY                 ,OH ,WHRQ        ,88.1  MHz ,201,ND  ,A  ,LIC    ,BLED   -20110504ACY ,0.38   kW ,0.38   kW ,102.4,102.4,172338,N ,41,22,37.8,W ,82,48,52.3,300.8  m,300.8  m,-         ,-       ,1014962,80.8   m,1424085
AMERICAN FAMILY ASSOCIATION                                                 ,SAVANNAH                 ,TN ,WAZD        ,88.1  MHz ,201,ND  ,A  ,LIC    ,BLED   -20010216AAE ,0.38   kW ,0.38   kW ,39,39,88091,N ,35,12,58,W ,88,14,30,179.   m,179.0  m,-         ,-       ,1044745,43.    m,552647
LA GIGANTE SIEMBRA INC.                                                     ,LEVITTOWN                ,PR ,WLUZ        ,88.5  MHz ,203,DA  ,A  ,LIC    ,BLED   -20131105AJU ,0.38   kW ,0.38   kW ,166.6,166.6,11620,N ,18,17,59.8,W ,66,15,48.1,468.2  m,468.2  m,116357,0,1238893,36.6   m,1592452
SNOW COLLEGE                                                                ,EPHRAIM                  ,UT ,KAGJ        ,88.9  MHz ,205,ND  ,C3 ,LIC    ,BLED   -20110819AAJ ,0.38   kW ,0.38   kW ,708,708,60705,N ,39,19,18,W ,111,46,11,2602.  m,2602.0 m,-         ,-       ,-       ,24.    m,1440730
"LIFETALK RADIO, INC.                                                        ",ELLENSBURG               ,WA ,KCSH        ,88.9  MHz ,205,ND  ,A  ,LIC    ,BLED   -20011026AAA ,0.38   kW ,0.38   kW ,167,167,81756,N ,47,10,2,W ,120,45,50,1013.  m,1013.0 m,-         ,-       ,-       ,44.    m,585368
TILLICUM FOUNDATION                                                         ,TILLAMOOK                ,OR ,KTCB        ,89.5  MHz ,208,ND  ,A  ,LIC    ,BLED   -20040908AAU ,0.38   kW ,0.38   kW ,351,351,93286,N ,45,27,59,W ,123,55,11,448.   m,448.0  m,-         ,-       ,1018405,17.    m,1010064
PITTSFIELD PUBLIC SCHOOL COMMITTEE                                          ,PITTSFIELD               ,MA ,WTBR-FM     ,89.7  MHz ,209,ND  ,A  ,LIC    ,BLED   -19850415KT  ,0.38   kW ,0.38   kW ,-35,-35,52749,N ,42,27,34,W ,73,16,31,372.   m,372.0  m,-         ,-       ,-       ,34.    m,77673
THE KBOO FOUNDATION                                                         ,CHEHALIS                 ,WA ,NEW         ,89.7  MHz ,209,DA  ,A  ,CP     ,BNPED  -20071019ARU ,0.38   kW ,0.38   kW ,307,307,173822,N ,46,33,16,W ,123,3,26,461.   m,461.0  m,103953,0,1033564,20.    m,1416845
NORTHERN MONTANA COLLEGE                                                    ,HAVRE                    ,MT ,KNMC        ,90.1  MHz ,211,ND  ,A  ,LIC    ,BLED   -19941123KB  ,0.38   kW ,0.38   kW ,-34,-34,49580,N ,48,32,31,W ,109,41,17,812.   m,812.0  m,-         ,-       ,-       ,28.    m,204318
SALISBURY EDUCATIONAL B/C FOUNDATION                                        ,SALISBURY                ,MD ,WDIH        ,90.3  MHz ,212,ND  ,A  ,LIC    ,BLED   -19900717KC  ,0.38   kW ,0.38   kW ,55,55,58655,N ,38,24,28,W ,75,36,16,67.    m,67.0   m,-         ,-       ,-       ,55.    m,150315
"MARS HILL BROADCASTING CO., INC.                                            ",COLD BROOK               ,NY ,WMHU        ,91.1  MHz ,216,DA  ,A  ,LIC    ,BLED   -20131021AHJ ,0.38   kW ,0.38   kW ,227,227,174468,N ,43,8,30,W ,75,2,22,514.   m,514.0  m,113660,0,-       ,59.    m,1579897
BALL STATE UNIVERSITY                                                       ,MUNCIE                   ,IN ,WWHI        ,91.3  MHz ,217,DA  ,A  ,CP     ,BPED   -20130403ABV ,0.38   kW ,0.38   kW ,40,40,47007,N ,40,12,3.1,W ,85,24,30.2,327.7  m,327.7  m,113018,0,-       ,40.6   m,1533110
LANGDALE EDUCATIONAL BROADCASTING FOUNDATION                                ,LANGDALE                 ,AL ,WEBT        ,91.5  MHz ,218,ND  ,A  ,LIC    ,BLED   -19860121KL  ,0.38   kW ,0.38   kW ,26,26,36527,N ,32,48,15,W ,85,10,43,229.   m,229.0  m,-         ,-       ,-       ,37.    m,85148
PANHANDLE STATE UNIVERSITY                                                  ,GOODWELL                 ,OK ,KPSU        ,91.7  MHz ,219,ND  ,A  ,LIC    ,BLED   -1726        ,0.38   kW ,0.38   kW ,37,37,51465,N ,36,35,41,W ,101,38,10,1030.  m,1030.0 m,-         ,-       ,-       ,23.    m,289678
-                                                                           ,CANAL FLATS              ,BC ,CBYCFM      ,91.7  MHz ,219,DA  ,A  ,OPER   ,-      --           ,0.38   kW ,0.38   kW ,-240,-240,95086,N ,50,11,41,W ,115,49,25,0.     m,0.0    m,-         ,0,-       ,0.     m,291632
OPP EDUCATIONAL B/CNG FOUNDATION                                            ,OPP                      ,AL ,WJIF        ,91.9  MHz ,220,ND  ,A  ,LIC    ,BLED   -19860320KB  ,0.38   kW ,0.38   kW ,50,50,50392,N ,31,15,50,W ,86,13,26,134.   m,134.0  m,-         ,-       ,-       ,37.    m,86698
WAMC                                                                        ,PLATTSBURGH              ,NY ,WCEL        ,91.9  MHz ,220,ND  ,A  ,LIC    ,BLED   -19910305KC  ,0.38   kW ,0.38   kW ,260,260,44032,N ,44,46,27,W ,73,36,48,507.   m,507.0  m,-         ,-       ,-       ,58.    m,157939
CLARKE BROADCASTING CORPORATION                                             ,SONORA                   ,CA ,KZSQ-FM     ,92.7  MHz ,224,ND  ,A  ,LIC    ,BMLH   -20051103AAI ,0.38   kW ,0.38   kW ,393,393,11708,N ,38,0,30,W ,120,21,44,1072.  m,1072.0 m,-         ,-       ,1205700,54.    m,1094449
"PREMIER BROADCASTERS, INC.                                                  ",WINLOCK                  ,WA ,KITI-FM     ,95.1  MHz ,236,ND  ,A  ,LIC    ,BLH    -20041004ADA ,0.38   kW ,0.38   kW ,268,268,53396,N ,46,32,35,W ,123,1,14,423.   m,423.0  m,-         ,-       ,1032882,34.    m,1017678
"REGIONAL RADIO GROUP, LLC                                                   ",QUEENSBURY               ,NY ,WCQL        ,95.9  MHz ,240,ND  ,A  ,LIC    ,BMLH   -20070129AMR ,0.38   kW ,0.38   kW ,388,388,36767,N ,43,25,12,W ,73,45,37,668.   m,668.0  m,-         ,-       ,-       ,34.    m,1170603
-                                                                           ,WHISTLER                 ,BC ,CISWFM      ,102.1 MHz ,271,ND  ,A  ,OPER   ,-      --           ,0.38   kW ,0.38   kW ,180,180,96045,N ,50,3,30,W ,123,0,12,0.     m,0.0    m,-         ,-       ,-       ,0.     m,298310
"FM RADIO LICENSES, LLC                                                      ",BELLWOOD                 ,PA ,WALY        ,103.9 MHz ,280,DA  ,A  ,LIC    ,BLH    -20140917AFE ,0.38   kW ,0.38   kW ,280,280,58312,N ,40,34,1,W ,78,26,32,806.   m,806.0  m,118074,0,1026573,31.    m,1651105
"JACKMAN HOLDING COMPANY, LLC                                                ",LEADWOOD                 ,MO ,KLMZ        ,107.1 MHz ,296,ND  ,A  ,LIC    ,BLH    -20111018AMR ,0.38   kW ,0.38   kW ,185,185,170970,N ,37,48,4,W ,90,33,44,475.   m,475.0  m,-         ,-       ,-       ,46.    m,1451946
ROARING FORK PUBLIC RADIO                                                   ,ASPEN                    ,CO ,KAJX        ,91.5  MHz ,218,DA  ,A  ,LIC    ,BLED   -19910514KC  ,0.38   kW ,0.37   kW ,-301,-301,3009,N ,39,11,48,W ,106,48,14,2670.  m,2670.0 m,13923,0,-       ,12.    m,161255
"RADIOACTIVE, LLC                                                            ",ROCKFORD                 ,IA ,KYME        ,92.9  MHz ,225,ND  ,A  ,LIC    ,BLH    -20080307ACM ,0.375  kW ,0.375  kW ,10,10,164235,N ,43,3,12,W ,92,57,15,320.   m,320.0  m,-         ,-       ,-       ,8.     m,1236771
"RADIOACTIVE, LLC                                                            ",SAC CITY                 ,IA ,KEWS        ,104.7 MHz ,284,ND  ,A  ,LIC    ,BLH    -20080306AAE ,0.375  kW ,0.375  kW ,9,9,164236,N ,42,25,18,W ,94,58,24,393.   m,393.0  m,-         ,-       ,-       ,8.     m,1251028
