Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
UNIVERSITY OF NORTH DAKOTA                                                  ,GRAND FORKS              ,ND ,KFJM        ,90.7  MHz ,214,ND  ,A  ,LIC    ,BLED   -20060818AAT ,4.     kW ,4.     kW ,34,34,69406,N ,47,54,17,W ,97,6,53,290.   m,290.0  m,-         ,-       ,-       ,34.    m,1144225
KENT STATE UNIVERSITY                                                       ,NORWALK                  ,OH ,WNRK        ,90.7  MHz ,214,DA  ,A  ,LIC    ,BLED   -20040608ABM ,4.     kW ,4.     kW ,124,124,90728,N ,41,10,50,W ,82,23,21,399.   m,399.0  m,42414,0,1242919,118.   m,997793
CEDAR RIDGE SCHOOL DISTRICT                                                 ,NEWARK                   ,AR ,KLLN        ,90.9  MHz ,215,ND  ,C3 ,LIC    ,BLED   -19860116KD  ,4.     kW ,4.     kW ,139,139,48700,N ,35,43,25,W ,91,26,40,236.   m,236.0  m,-         ,-       ,-       ,111.   m,85037
EDUCATIONAL MEDIA FOUNDATION                                                ,ALTUS                    ,OK ,KKVO        ,90.9  MHz ,215,ND  ,C3 ,LIC    ,BLED   -20060404ABP ,4.     kW ,4.     kW ,250,250,1192,N ,34,58,39,W ,99,24,35,767.   m,767.0  m,-         ,-       ,1209681,81.    m,1124509
SHOFAR BROADCASTING CORPORATION                                             ,CHARLESTON               ,WV ,WXAF        ,90.9  MHz ,215,DA  ,B1 ,LIC    ,BLED   -20140225ABC ,4.     kW ,4.     kW ,205,205,39869,N ,38,16,58,W ,81,31,53,512.   m,512.0  m,117493,0,1033973,58.    m,1625523
"HI-LINE RADIO FELLOWSHIP, INC.                                              ",LEWISTOWN                ,MT ,KLEU        ,91.1  MHz ,216,ND  ,C1 ,LIC    ,BLED   -20080623ACY ,4.     kW ,4.     kW ,572,572,92240,N ,47,10,39.4,W ,109,32,5.6,1773.  m,1773.0 m,-         ,-       ,-       ,12.    m,1251742
"TEXAS COMMUNITY BROADCAST ASSOCIATION, INC.                                 ",BRADY                    ,TX ,NEW         ,91.1  MHz ,216,ND  ,A  ,APP    ,BNPED  -20071017AKM ,4.     kW ,4.     kW ,72,72,174985,N ,31,7,27,W ,99,21,34,619.   m,619.0  m,-         ,-       ,1066084,101.   m,1237763
"CALVARY RADIO NETWORK, INC.                                                 ",WONDER LAKE              ,IL ,WTZY        ,91.3  MHz ,217,DA  ,A  ,LIC    ,BLED   -20120917AFE ,4.     kW ,4.     kW ,65,65,174052,N ,42,27,53,W ,88,25,29,341.   m,341.0  m,109920,0,1065860,56.    m,1516119
"SPIRIT COMMUNICATIONS, INC.                                                 ",LOMPOC                   ,CA ,KRQZ        ,91.5  MHz ,218,DA  ,B1 ,LIC    ,BLED   -20080821AAI ,4.     kW ,4.     kW ,238,238,78929,N ,34,50,8,W ,120,24,6,409.5  m,409.5  m,84601,155,-       ,36.5   m,1312029
INTERLOCHEN CENTER FOR THE ARTS                                             ,TRAVERSE CITY            ,MI ,WICA        ,91.5  MHz ,218,DA  ,C3 ,LIC    ,BLED   -20001114AAH ,4.     kW ,4.     kW ,228,228,89497,N ,44,45,22,W ,85,40,42,466.   m,466.0  m,33365,0,1061438,139.   m,533362
"PROVIDENCE COMMUNITY RADIO, INC                                             ",HARRISVILLE              ,RI ,NEW         ,91.5  MHz ,218,DA  ,A  ,APP    ,BNPED  -20071017AIV ,4.     kW ,4.     kW ,4.5,4.5,172797,N ,41,58,29,W ,71,37,45,127.   m,127.0  m,103855,0,1204486,26.    m,1415936
"CALIFORNIA STATE UNIVERSITY, SACRAMENTO                                     ",GROVELAND                ,CA ,KXSR        ,91.7  MHz ,219,DA  ,B  ,LIC    ,BMLED  -20121119AOT ,4.     kW ,4.     kW ,485,485,8328,N ,38,3,46,W ,120,14,45,1543.  m,1543.0 m,15953,0,-       ,56.    m,1525341
